userId,itermID,Actual_Rating,Predicted_Rating,Delta_Rating
1564,27,0.53,5,4.47
4468,42,-0.39,5,5.39
19060,35,5.15,5,0.15000000000000036
21388,39,0.49,5,4.51
15807,40,-7.48,5,12.48
1595,19,5.49,5,0.4900000000000002
17073,20,8.74,5,3.74
683,17,0.1,5,4.9
14091,21,3.98,5,1.02
21621,95,0.15,5,4.85
7209,10,-0.39,5,5.39
20326,21,-7.28,5,12.280000000000001
6929,11,-7.18,5,12.18
2650,55,0.92,5,4.08
14438,99,0.68,5,4.32
5328,58,-4.22,5,9.219999999999999
10556,76,-6.65,5,11.65
1637,35,5.68,5,0.6799999999999997
24959,24,0.44,5,4.56
19217,60,-7.23,5,12.23
17427,68,-2.28,5,7.279999999999999
14009,2,4.81,5,0.1900000000000004
24884,21,1.17,5,3.83
9357,44,-8.64,5,13.64
14183,62,-4.51,5,9.51
3324,46,-0.29,5,5.29
17543,28,0.83,5,4.17
12323,20,4.17,5,0.8300000000000001
24469,26,6.26,5,1.2599999999999998
7652,45,-7.91,5,12.91
